ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests
1,28,Facebook,Video,Female,35-44,"art, technology"
2,33,Facebook,Stories,All,25-34,"travel, photography"
3,20,Instagram,Carousel,All,25-34,technology
4,28,Facebook,Stories,Female,25-34,news
5,24,Instagram,Image,Female,25-34,news
6,33,Facebook,Video,Male,25-34,"finance, health"
7,9,Facebook,Image,Female,18-24,"fashion, gaming"
8,13,Facebook,Carousel,All,25-34,technology
9,49,Instagram,Stories,All,35-44,"fitness, lifestyle"
10,17,Facebook,Stories,Female,18-24,art
11,37,Facebook,Carousel,All,35-44,fashion
12,45,Facebook,Stories,Female,35-44,"gaming, technology"
13,6,Facebook,Stories,Female,All,"health, food"
14,21,Instagram,Image,Female,35-44,"finance, lifestyle"
15,28,Facebook,Stories,All,All,fashion
16,18,Facebook,Video,Female,35-44,"food, gaming"
17,48,Instagram,Image,All,35-44,"sports, travel"
18,30,Facebook,Video,Male,18-24,photography
19,3,Facebook,Video,Female,18-24,gaming
20,38,Instagram,Image,Male,35-44,"art, travel"
21,22,Instagram,Video,All,25-34,art
22,30,Facebook,Stories,Male,35-44,finance
23,33,Facebook,Image,All,18-24,news
24,23,Facebook,Video,Female,All,technology
25,29,Facebook,Video,Male,25-34,"travel, technology"
26,42,Facebook,Image,Female,All,"gaming, health"
27,4,Instagram,Video,Female,All,"health, fashion"
28,48,Facebook,Image,Female,25-34,"finance, travel"
29,23,Instagram,Carousel,All,18-24,"lifestyle, news"
30,49,Facebook,Carousel,Female,25-34,sports
31,21,Facebook,Image,Female,25-34,fashion
32,29,Instagram,Stories,All,18-24,sports
33,15,Instagram,Carousel,Female,All,photography
34,26,Instagram,Stories,Female,35-44,"sports, technology"
35,18,Instagram,Image,Female,25-34,"travel, finance"
36,37,Facebook,Video,Male,18-24,"gaming, health"
37,46,Facebook,Carousel,All,35-44,"gaming, travel"
38,2,Facebook,Stories,Male,25-34,"finance, technology"
39,34,Instagram,Stories,All,35-44,"lifestyle, gaming"
40,21,Facebook,Stories,All,All,"health, finance"
41,38,Facebook,Carousel,All,25-34,photography
42,19,Facebook,Video,Female,25-34,health
43,35,Facebook,Video,All,All,fitness
44,40,Facebook,Video,Female,18-24,"fashion, gaming"
45,38,Facebook,Carousel,Female,All,"sports, gaming"
46,10,Instagram,Carousel,All,35-44,"technology, travel"
47,17,Instagram,Image,Female,35-44,"fitness, sports"
48,42,Facebook,Carousel,All,All,"finance, lifestyle"
49,11,Facebook,Stories,All,25-34,finance
50,5,Instagram,Stories,Female,35-44,news
51,26,Instagram,Carousel,All,18-24,photography
52,2,Instagram,Stories,Female,35-44,"health, lifestyle"
53,13,Facebook,Stories,Female,25-34,sports
54,29,Instagram,Image,Female,25-34,"technology, travel"
55,39,Instagram,Carousel,Male,35-44,gaming
56,1,Instagram,Stories,Female,35-44,news
57,32,Instagram,Video,Female,All,lifestyle
58,39,Facebook,Image,Male,18-24,"travel, health"
59,31,Instagram,Stories,Male,18-24,lifestyle
60,38,Facebook,Stories,All,35-44,health
61,38,Instagram,Carousel,All,35-44,"sports, photography"
62,20,Facebook,Image,Male,All,"fashion, lifestyle"
63,3,Facebook,Video,Male,35-44,"sports, lifestyle"
64,33,Facebook,Stories,Female,18-24,news
65,4,Facebook,Stories,Female,All,finance
66,22,Facebook,Video,All,All,"photography, finance"
67,40,Facebook,Carousel,All,18-24,"technology, travel"
68,17,Facebook,Image,All,18-24,sports
69,13,Facebook,Stories,Female,18-24,health
70,42,Facebook,Stories,Female,18-24,"travel, technology"
71,21,Facebook,Stories,Male,All,"art, fashion"
72,32,Facebook,Image,All,35-44,travel
73,47,Facebook,Stories,Female,25-34,fitness
74,17,Instagram,Image,Female,18-24,"finance, lifestyle"
75,37,Facebook,Stories,Female,18-24,news
76,11,Facebook,Video,Female,18-24,"technology, news"
77,4,Facebook,Stories,Male,35-44,"fashion, photography"
78,26,Facebook,Image,Female,18-24,"gaming, photography"
79,17,Instagram,Carousel,Female,25-34,"travel, art"
80,46,Facebook,Stories,Male,35-44,lifestyle
81,29,Instagram,Carousel,All,25-34,"fitness, photography"
82,24,Facebook,Stories,Female,18-24,food
83,29,Facebook,Video,All,All,"health, art"
84,8,Facebook,Image,Female,35-44,health
85,20,Facebook,Carousel,Female,18-24,"finance, sports"
86,20,Facebook,Image,Female,All,"fashion, gaming"
87,31,Instagram,Image,All,18-24,"health, fashion"
88,20,Facebook,Image,Female,25-34,"news, travel"
89,1,Facebook,Carousel,Female,25-34,finance
90,18,Instagram,Stories,Male,35-44,"fitness, gaming"
91,37,Facebook,Video,All,18-24,"travel, gaming"
92,4,Facebook,Carousel,Female,35-44,gaming
93,34,Instagram,Carousel,Male,All,fashion
94,14,Facebook,Video,Female,35-44,news
95,36,Instagram,Image,All,25-34,fashion
96,24,Facebook,Stories,Male,35-44,news
97,45,Instagram,Image,All,25-34,"health, sports"
98,3,Facebook,Stories,Female,18-24,"sports, finance"
99,8,Facebook,Image,Female,35-44,"photography, fitness"
100,50,Instagram,Image,Female,25-34,"art, photography"
101,42,Facebook,Video,All,18-24,art
102,46,Facebook,Image,All,25-34,"food, fashion"
103,22,Facebook,Stories,Female,35-44,"health, fitness"
104,20,Facebook,Carousel,All,18-24,food
105,25,Instagram,Image,All,35-44,art
106,22,Facebook,Stories,Female,All,"news, fashion"
107,25,Instagram,Carousel,All,25-34,fashion
108,37,Facebook,Carousel,Male,18-24,photography
109,8,Facebook,Stories,All,35-44,"travel, fashion"
110,23,Instagram,Image,Male,18-24,"fitness, finance"
111,42,Facebook,Stories,Female,All,lifestyle
112,15,Facebook,Video,All,35-44,food
113,15,Instagram,Image,Female,18-24,"fitness, finance"
114,38,Facebook,Stories,Female,18-24,"news, health"
115,24,Facebook,Carousel,Female,All,"lifestyle, technology"
116,4,Facebook,Video,All,All,lifestyle
117,42,Facebook,Stories,All,18-24,"finance, travel"
118,8,Facebook,Stories,All,All,"health, sports"
119,44,Instagram,Carousel,All,35-44,health
120,17,Facebook,Image,Male,All,news
121,25,Facebook,Video,Male,35-44,news
122,10,Facebook,Stories,All,35-44,health
123,33,Facebook,Carousel,All,18-24,"finance, sports"
124,34,Instagram,Image,Female,All,"technology, lifestyle"
125,32,Instagram,Carousel,Female,18-24,photography
126,38,Facebook,Carousel,All,25-34,art
127,47,Facebook,Stories,Female,All,"gaming, travel"
128,41,Instagram,Carousel,Male,18-24,"fitness, art"
129,10,Facebook,Carousel,Female,35-44,sports
130,22,Facebook,Image,Female,25-34,food
131,17,Facebook,Image,Male,25-34,photography
132,1,Facebook,Carousel,Female,18-24,news
133,30,Facebook,Video,Male,All,"technology, health"
134,25,Facebook,Image,Female,All,"health, gaming"
135,47,Instagram,Stories,Male,18-24,sports
136,7,Facebook,Stories,Female,35-44,fashion
137,7,Facebook,Image,Female,All,health
138,7,Instagram,Stories,All,18-24,food
139,12,Facebook,Stories,Male,18-24,photography
140,2,Facebook,Image,Female,All,photography
141,44,Instagram,Stories,Male,35-44,travel
142,29,Facebook,Image,All,All,"finance, news"
143,10,Facebook,Stories,Female,35-44,"health, fitness"
144,34,Instagram,Stories,Female,18-24,"fitness, health"
145,20,Facebook,Carousel,Male,25-34,travel
146,4,Facebook,Video,Female,All,gaming
147,38,Facebook,Carousel,All,35-44,finance
148,8,Facebook,Carousel,Male,All,"finance, photography"
149,11,Facebook,Stories,All,18-24,"health, fitness"
